date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:36:41	2328/2328	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%221471-lPtp9YVyr9NBOxTWtz83YY+EDOY%22	https://www.layui.com/robots.txt		(from )
19:36:41	8326/8326	---MCZ	200	added ('OK')	text/html	etag:W/%222086-/IiO7JHa65iDtLztciTFmd9Zs9A%22	https://www.layui.com/	E:/dev/layui/layui/www.layui.com/index.html	(from )
19:36:41	83/83	---M--	403	error ('Forbidden')	text/html	date:Fri,%2026%20Mar%202021%2011:36:42%20GMT	http:../../res.layui.com/layui/dist/css/layui.css?t=1616653624947	E:/dev/layui/layui/res.layui.com/layui/dist/css/layui.09815.delayed	(from )
19:36:41	80/80	---M--	403	error ('Forbidden')	text/html	date:Fri,%2026%20Mar%202021%2011:36:42%20GMT	http:../../res.layui.com/static/css/global.css?t=1616653624947-19	E:/dev/layui/layui/res.layui.com/static/css/global4234.css	(from )
19:36:42	87/87	---M--	403	error ('Forbidden')	text/html	date:Fri,%2026%20Mar%202021%2011:36:42%20GMT	http:../../res.layui.com/static/images/layui/logo.png	E:/dev/layui/layui/res.layui.com/static/images/layui/logo.png	(from )
19:36:42	6535/6535	---MCZ	200	added ('OK')	text/html	etag:W/%221987-3T23kmUMrihyyT5SibkS18kXnZc%22	https://www.layui.com/alone.html	E:/dev/layui/layui/www.layui.com/alone.html	(from )
19:36:42	96/96	---M--	403	error ('Forbidden')	text/html	date:Fri,%2026%20Mar%202021%2011:36:43%20GMT	http:../../res.layui.com/static/images/layui/banner/spring.jpg?v=166	E:/dev/layui/layui/res.layui.com/static/images/layui/banner/springff23.jpg	(from )
19:36:43	85479/85479	---MCZ	200	added ('OK')	text/html	etag:W/%2214de7-IMuCDuEd+RDnl/ZraHAR0ZQfPXs%22	https://www.layui.com/doc/base/changelog.html	E:/dev/layui/layui/www.layui.com/doc/base/changelog.html	(from )
19:36:43	9471/9471	---MCZ	200	added ('OK')	text/html	etag:W/%2224ff-vsmzrP2YFRBMrzUf2doyLscUaf4%22	https://www.layui.com/about/disclaimer.html	E:/dev/layui/layui/www.layui.com/about/disclaimer.html	(from )
19:36:43	16768/16768	---MCZ	200	added ('OK')	text/html	etag:W/%224180-72LlSM59FHRKQatORdI01rZfv0U%22	https://www.layui.com/demo/	E:/dev/layui/layui/www.layui.com/demo/index.html	(from https://www.layui.com/)
19:36:43	24395/24395	---MCZ	200	added ('OK')	text/html	etag:W/%225f4b-+TBP/UReQclED0ZL1pPxRNkEbrk%22	https://www.layui.com/doc/	E:/dev/layui/layui/www.layui.com/doc/index.html	(from https://www.layui.com/)
19:36:43	8648/8648	---MCZ	200	added ('OK')	text/html	etag:W/%2221c8-WdSKttFq9d4S+8iB3c48eM2tZGQ%22	https://www.layui.com/about/relatedlinks.html	E:/dev/layui/layui/www.layui.com/about/relatedlinks.html	(from )
19:36:43	88/88	---M--	403	error ('Forbidden')	text/html	date:Fri,%2026%20Mar%202021%2011:36:44%20GMT	http:../../res.layui.com/static/images/other/upyun.png?t=1	E:/dev/layui/layui/res.layui.com/static/images/other/upyun.8b73c.delayed	(from )
19:36:44	23080/23080	---M--	200	added ('OK')	image/png	etag:%223259C04F6EE9A835C25A80DDB0846F08%22	http://cdn.layui.com/upload/2019_5/168_1559291577683_9348.png	E:/dev/layui/layui/cdn.layui.com/upload/2019_5/168_1559291577683_9348.png	(from )
19:36:46	78/78	---M--	403	error ('Forbidden')	text/html	date:Fri,%2026%20Mar%202021%2011:36:45%20GMT	http:../../res.layui.com/layui/dist/layui.js?t=1616653624947	E:/dev/layui/layui/res.layui.com/layui/dist/layui.b9815.delayed	(from )
19:36:46	141311/141311	---MC-	200	added ('OK')	text/javascript	date:Fri,%2026%20Mar%202021%2011:36:45%20GMT	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js	E:/dev/layui/layui/pagead2.googlesyndication.com/pagead/js/adsbygoogle.js	(from )
19:36:46	0/0	---M--	200	added ('OK')	text/plain	date:Fri,%2026%20Mar%202021%2011:36:47%20GMT	https://hm.baidu.com/hm.js?d214947968792b839fd669a4decaaffc	E:/dev/layui/layui/hm.baidu.com/hm.cd4f2.delayed	(from )
19:36:46	83/83	---M--	403	error ('Forbidden')	text/html	date:Fri,%2026%20Mar%202021%2011:36:47%20GMT	http:../../res.layui.com/layui/dist/css/layui.css?t=1616653625022	E:/dev/layui/layui/res.layui.com/layui/dist/css/layui.dfd01.delayed	(from https://www.layui.com/)
19:36:47	80/80	---M--	403	error ('Forbidden')	text/html	date:Fri,%2026%20Mar%202021%2011:36:47%20GMT	http:../../res.layui.com/static/css/global.css?t=1616653625022-19	E:/dev/layui/layui/res.layui.com/static/css/global64ff.css	(from https://www.layui.com/)
19:36:47	26625/26625	---MCZ	200	added ('OK')	text/html	etag:W/%226801-cLcFt/7QqNrry7J6TLUpkc5rWqU%22	https://www.layui.com/doc/base/infrastructure.html	E:/dev/layui/layui/www.layui.com/doc/base/infrastructure.html	(from https://www.layui.com/)
19:36:48	21271/21271	---MCZ	200	added ('OK')	text/html	etag:W/%225317-K4BWq7i+rj4L5r5flWvDN6Twx6k%22	https://www.layui.com/doc/base/element.html	E:/dev/layui/layui/www.layui.com/doc/base/element.html	(from https://www.layui.com/)
19:36:48	20125/20125	---MCZ	200	added ('OK')	text/html	etag:W/%224e9d-pVlikuQ/E9DFOW/ORjbThLI9P+g%22	https://www.layui.com/doc/base/modules.html	E:/dev/layui/layui/www.layui.com/doc/base/modules.html	(from https://www.layui.com/)
